beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
mustache	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'n. an unshaved growth of hair on the upper lip', ""'mʌstæʃ"", 'mustache', 'n. 髭, 胡子'}"
finer	The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.	"{""s. (comparative of `fine') greater in quality or excellence"", ""'fainә"", 'a. 出色的, 好的', 'finer'}"
pretended	Mrs. Potter was Mrs. Dursley’s sister, but they hadn’t met for several years; in fact, Mrs. Dursley pretended she didn’t have a sister, because her sister and her goodfornothing husband were as unDursleyish as it was possible to be.	"{'v make believe with the intent to deceive\nv behave unnaturally or affectedly\nv put forward a claim and assert right or possession of\nv put forward, of a guess, in spite of possible refutation\nv represent fictitiously, as in a play, or pretend to be or act like\nv state insincerely\ns adopted in order to deceive', 'pretended', 'a. 假装的；虚假的', ""pri'tendid. pri:-""}"
woke	This boy was another good reason for keeping the Potters away; they didn’t want Dudley mixing with a child like that.When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country.	{'woke', 'wake的过去式和过去分词', 'v be awake, be alert, be there\nv stop sleeping\nv arouse or excite feelings and passions\nv make aware of\nv cause to become awake or conscious', 'wәuk'}
dull	This boy was another good reason for keeping the Potters away; they didn’t want Dudley mixing with a child like that.When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country.	{'dull', 'a. 钝的, 无趣的, 呆滞的, 阴暗的\nvt. 使迟钝, 使阴暗, 缓和\nvi. 变迟钝, 减少', 'v. make dull in appearance\nv. become dull or lusterless in appearance; lose shine or brightness\nv. make dull or blunt\nv. make less lively or vigorous', 'dʌl'}
happily	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	"{'adv. 幸福地, 快乐地, 幸好', ""'hæpili"", 'happily', 'r. in a joyous manner\nr. in an unexpectedly lucky way'}"
screaming	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	"{'s. so extremely intense as to evoke screams\ns. resembling a scream in effect', 'screaming', ""'skri:miŋ"", 'a. 发出尖叫声的, 极滑稽的, 惊人的'}"
tawny	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	"{'a. 黄褐色的, 茶色的\nn. 黄褐色', ""'tɒ:ni"", 's. of a light brown to brownish orange color; the color of tanned leather', 'tawny'}"
flutter	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	"{""'flʌtә"", 'n. 摆动, 鼓翼, 烦扰\nvi. 摆动, 鼓翼, 烦扰\nvt. 拍(翅), 使焦急\n[计] 颤动', 'flutter', 'n. abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block\nv. flap the wings rapidly or fly with flapping movements'}"
pecked	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	{'v. 啄, 啄食, 小口地吃( peck的过去式和过去分词 ); 匆匆地吻', 'imp. & p. p. of Peck', 'pecked', 'pekt'}
